k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
123,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75
124,0,0,0,0.5,0.5,0,0.5,0,0.364006272,0,0.5,0.635993728,0,0.5,0.276946186,0.5,0,0.723053814
125,0,0.5,0.374259129,0.5,0,0.625740871,0,0,0,0.5,0.5,0,0.5,0,0.169332493,0,0.5,0.830667507
126,0,0.5,0.360419567,0.5,0,0.639580433,0,0,0,0.5,0.5,0,0.5,0,0.149024126,0,0.5,0.850975874
127,0,0.5,0.294613346,0.5,0,0.705386654,0.5,0,0.279307837,0,0.5,0.720692163,0,0,0,0.5,0.5,0
128,0.266837753,0.991900695,0.274937057,0.716963638,0.991900695,0.725062943,0.840441997,0.660409629,0.180032368,0.480377261,0.660409629,0.819967632,0.292857311,0.292857311,0,0.86432227,0.36432227,0.5
129,0.5,0.5,0.5,0.75,0.75,0.75,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625
130,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0,0,0,0,0,0.5
131,0,0.5,0.189285815,0.5,0,0.810714185,0.5,0,0.347119744,0,0.5,0.652880256,0,0,0,0.5,0.5,0
132,0.375,0.880445288,0.005445288,0.119554712,0.125,0.494554712,0.630445288,0.625,0.505445288,0.875,0.369554712,0.994554712,0,0,0,0.75,0.25,0.5
133,0.5,0,0.5,0,0,0,0.65494337,0.15494337,0.5,0.34505663,0.84505663,0.5,0.85301951,0.35301951,0.5,0.14698049,0.64698049,0.5
134,0.5,0.5,0.425748513,0,0,0.574251487,0.5,0.5,0.14189555,0,0,0.85810445,0,0,0.367983169,0.5,0.5,0.632016831
135,0,0,0,0.75,0.25,0.5,0.232174315,0.232174315,0,0.767825685,0.767825685,0,0.517825685,0.017825685,0.5,0.982174315,0.482174315,0.5
136,0,0.5,0.290643883,0.5,0,0.709356117,0,0,0,0.5,0.5,0,0.5,0,0.302695877,0,0.5,0.697304123
137,0,0,0,0.75,0.75,0.75,0.873012587,0.375662471,0.375662471,0.375662471,0.873012587,0.375662471,0.375662471,0.375662471,0.375662471,0.375662471,0.375662471,0.873012587
138,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0,0,0,0,0,0.5
139,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75
140,0,0,0,0.5,0.5,0.5,0.301714374,0.301714374,0,0.698285626,0.698285626,0,0.801714374,0.198285626,0.5,0.198285626,0.801714374,0.5
141,0.5,0.5,0.19555742,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.80444258,0.5,0.5,0.5,0,0,0
142,0.559249322,0.440750678,0.25,0.2501577,0.7498423,0.25,0.7498423,0.2501577,0.75,0.440750678,0.559249322,0.75,0.895108747,0.104891253,0.25,0.104891253,0.895108747,0.75
143,0.394633832,0.605366168,0.25,0.605366168,0.394633832,0.75,0.750342024,0.249657976,0.25,0.054368849,0.945631151,0.25,0.945631151,0.054368849,0.75,0.249657976,0.750342024,0.75
144,0.939159281,0.060840719,0.25,0.249814344,0.750185656,0.25,0.750185656,0.249814344,0.75,0.060840719,0.939159281,0.75,0.60508434,0.39491566,0.25,0.39491566,0.60508434,0.75
145,0,0.5,0.189285803,0.5,0,0.810714197,0.5,0,0.347119721,0,0.5,0.652880279,0,0,0,0.5,0.5,0
146,0,0,0,0.5,0.5,0.5,0.228607063,0.361480414,0,0.771392937,0.638519586,0,0.728607063,0.138519586,0.5,0.271392937,0.861480414,0.5
147,0.5,0.5,0,0,0,0.5,0.727075662,0.138576637,0,0.272924338,0.861423363,0,0.227075662,0.361423363,0.5,0.772924338,0.638576637,0.5
148,0.5,0.5,0,0,0,0.5,0.752765311,0.155489764,0,0.247234689,0.844510236,0,0.252765311,0.344510236,0.5,0.747234689,0.655489764,0.5
149,0,0,0.332543847,0.5,0.5,0.667456153,0.5,0,0.112992635,0,0.5,0.887007365,0.5,0.5,0.051499912,0,0,0.948500088
150,0,0.5,0.373270811,0.5,0,0.626729189,0,0,0,0.5,0.5,0,0.5,0,0.16267821,0,0.5,0.83732179
151,0.934039927,0.125,0.309039927,0.375,0.184039927,0.309039927,0.875,0.065960073,0.690960073,0.815960073,0.625,0.690960073,0.5,0.5,0,0.25,0.75,0.5
152,0,0.5,0.273662017,0.5,0,0.726337983,0,0,0,0.5,0.5,0,0.5,0,0.366793153,0,0.5,0.633206847
153,0.25,0.25,0,0.75,0.75,0,0.830224301,0.330224301,0.160448602,0.330224301,0.169775699,0.5,0.669775699,0.830224301,0.5,0.169775699,0.669775699,0.839551398
154,0.25,0.25,0,0.75,0.75,0,0.830072941,0.330072941,0.160145882,0.330072941,0.169927059,0.5,0.669927059,0.830072941,0.5,0.169927059,0.669927059,0.839854118
155,0.5,0.5,0.329351154,0,0,0.670648846,0,0,0.046324988,0.5,0.5,0.953675012,0,0.5,0.115623054,0.5,0,0.884376946
156,0.623993387,0.123993387,0.5,0.376006613,0.876006613,0.5,0.763498893,0.5,0.263498893,0.236501107,0.5,0.736501107,0.212318945,0.212318945,0,0.787681055,0.787681055,0
157,0.147797349,0.25,0.212275267,0.852202651,0.75,0.787724733,0.600666229,0.75,0.119943122,0.770968586,0.25,0.482294355,0.229031414,0.75,0.517705645,0.399333771,0.25,0.880056878
158,0.615829427,0.115829427,0.5,0.384170573,0.884170573,0.5,0.764243134,0.5,0.264243134,0.235756866,0.5,0.735756866,0.212092636,0.212092636,0,0.787907364,0.787907364,0
159,0.3059202,0.3059202,0,0.6940798,0.6940798,0,0.8059202,0.1940798,0.5,0.1940798,0.8059202,0.5,0,0,0,0.5,0.5,0.5
160,0.333333333,0.666666667,0.000314719,0,0,0.249678803,0.666666667,0.333333333,0.500314719,0,0,0.749678803,0.333333333,0.666666667,0.375006453,0.666666667,0.333333333,0.875006453
161,0,0.5,0.290643896,0.5,0,0.709356104,0,0,0,0.5,0.5,0,0.5,0,0.30269589,0,0.5,0.69730411
162,0,0,0,0.666666667,0.333333333,0.25,0,0,0.5,0.333333333,0.666666667,0.75,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75
163,0.75031162,0.24968838,0.25,0.053245522,0.946754478,0.25,0.946754478,0.053245522,0.75,0.24968838,0.75031162,0.75,0.394659695,0.605340305,0.25,0.605340305,0.394659695,0.75
164,0,0.5,0.154158931,0.5,0,0.845841069,0.5,0,0.275729996,0,0.5,0.724270004,0,0,0.5,0.5,0.5,0.5
